"sample_i","sample_j","r"
"CamK2a-iPKRTRAP-ASV-Trained-IP1","CamK2a-iPKRTRAP-ASV-Trained-IP2",0.986657467209633
"CamK2a-iPKRTRAP-ASV-Trained-IP1","CamK2a-iPKRTRAP-ASV-Trained-IP3",0.984319249541461
"CamK2a-iPKRTRAP-ASV-Trained-IP2","CamK2a-iPKRTRAP-ASV-Trained-IP3",0.993155451292847
