"group","n_reps","n_pairs","r_mean","r_median","r_min","r_max"
"iPKRTRAP_Trained",3,3,0.988044056014647,0.986657467209633,0.984319249541461,0.993155451292847
"vTRAP_Trained",3,3,0.984287475026086,0.983466855516706,0.979848855930831,0.989546713630722
