"gene","score","rank"
"Ppp1r14a",1.23554051905204,189
"Ptprz1",1.23554051905204,190
"Ccdc47",1.23525602973251,191
"Enpp5",1.23207706195616,192
"4933434E20Rik",1.22764368618927,193
"Plp1",1.22764368618927,194
"Elovl1",1.22725408106325,195
"Slc9a6",1.22542345150812,196
"Laptm5",1.22080133368037,197
"Ssr1",1.22013958891907,198
"Slc6a7",1.21992272660687,199
"Chpf2",1.21800345255138,200
"Tmem18",1.21800345255138,201
"Ephb6",1.2165669410318,202
"Tspan7",1.2162284597136,203
"Slc7a3",1.21417793074261,204
"Bhlhe41",1.20918119627702,205
"Fam78a",1.20798789217463,206
"Hspa5",1.20798789217463,207
"Slitrk1",1.20798789217463,208
"Anln",1.2078139006047,209
"Pamr1",1.20730241531078,210
"Vsnl1",1.20730241531078,211
"Plbd2",1.20468569424586,212
"Onecut2",1.20375774889411,213
"Tmbim6",1.20335004590709,214
"Pdia3",1.19628230540193,215
"Nptx1",1.19288257397461,216
"Foxred2",1.18828847378243,217
"St6galnac3",1.18413882474235,218
"Tmem59",1.18051614073279,219
"B3gnt2",1.18031666844637,220
"Gpr34",1.17746593724757,221
"Slc44a1",1.17746593724757,222
"Ctsd",1.17234115957119,223
"Slc17a5",1.17234115957119,224
"Xylt2",1.17234115957119,225
"Gpm6b",1.17092072069395,226
"Dgat1",1.16908977888092,227
"B3galt5",1.16803038591736,228
"Clcc1",1.16559660773949,229
"A330041J22Rik",1.16350412316727,230
"Cd164",1.16329782515678,231
"F3",1.15845129905208,232
"Alg11",1.14896731708762,233
"Pld3",1.14431128364127,234
"Vasn",1.1346754312809,235
"Efemp1",1.13396088673173,236
"Rpn1",1.13281364194164,237
"Islr2",1.13119850205054,238
"Itm2c",1.13057373381741,239
"Spock3",1.13054027127166,240
"Apba2",1.13031710668614,241
"Kcnt1",1.12985701733913,242
"Tspan1",1.12808191338323,243
"Gpc5",1.12754408678618,244
"Dgat2",1.12645712432412,245
"Mcam",1.12274464146863,246
"Car11",1.11985381867356,247
"Drd1",1.11985381867356,248
"Golt1b",1.11985381867356,249
"Cd7",1.11691720685626,250
"Abi3",1.11385765499652,251
"Gm10635",1.11323887183789,252
"Dcn",1.10358870764698,253
"4930553P18Rik",1.10355151859053,254
"Efna1",1.10355151859053,255
"Hmgcr",1.10355151859053,256
"Cd81",1.10330550101213,257
"Sulf2",1.10330550101213,258
"Tspan15",1.10313747260413,259
"Bcap31",1.10252635434035,260
"Gm41608",1.10252635434035,261
"Nxph3",1.10252635434035,262
"Pgap3",1.10252635434035,263
"Lamp2",1.09910665461105,264
"Klf13",1.09890412867863,265
"Zdhhc22",1.09890412867863,266
"Apmap",1.09836160178669,267
"Nucb1",1.09836160178669,268
"Cntn2",1.09736755858851,269
"Tecr",1.09374670654756,270
"Fuca1",1.0928740439687,271
"Itfg1",1.0928740439687,272
"Mfge8",1.0928740439687,273
"Ddx23",1.08839368092109,274
"Prss35",1.08715646036431,275
"Mfsd2a",1.07989608655539,276
"Msmo1",1.07989608655539,277
"Gm36736",1.07710353464128,278
"Cx3cl1",1.06407036711253,279
"Prima1",1.06407036711253,280
"Cst3",1.06274270796973,281
"Edil3",1.06274270796973,282
"Rhbdl1",1.06274270796973,283
"Pcdhgc5",1.05924831605461,284
"Nkx6-2",1.05457646281792,285
"Tmed9",1.05314125797757,286
"Prune2",1.05269082746804,287
"Smpd3",1.05269082746804,288
"Adra1b",1.05179881633436,289
"C1galt1c1",1.05020143764435,290
"Gm38874",1.05020143764435,291
