"sample_i","sample_j","r"
"CamK2a-iPKRTRAP-ASV-BO-IP1","CamK2a-iPKRTRAP-ASV-BO-IP2",0.994833547608899
"CamK2a-iPKRTRAP-ASV-BO-IP1","CamK2a-iPKRTRAP-ASV-BO-IP3",0.981157582831836
"CamK2a-iPKRTRAP-ASV-BO-IP2","CamK2a-iPKRTRAP-ASV-BO-IP3",0.98169541983892
