"group","n_reps","n_pairs","r_mean","r_median","r_min","r_max"
"iPKRTRAP_BO",3,3,0.985895516759885,0.98169541983892,0.981157582831836,0.994833547608899
"vTRAP_BO",3,3,0.986105993191147,0.986370631603362,0.980156590806114,0.991790757163967
