"","CamK2a-vTRAP-BO-PT1h-IP1","CamK2a-vTRAP-BO-PT1h-IP2","CamK2a-vTRAP-BO-PT1h-IP3","CamK2a-iPKRTRAP-ASV-BO-IP1","CamK2a-iPKRTRAP-ASV-BO-IP2","CamK2a-iPKRTRAP-ASV-BO-IP3"
"CamK2a-vTRAP-BO-PT1h-IP1",1,0.980156590806114,0.986370631603362,0.982937910850358,0.985030638215536,0.972648820755892
"CamK2a-vTRAP-BO-PT1h-IP2",0.980156590806114,1,0.991790757163967,0.979397420917464,0.980783958542208,0.973416690279572
"CamK2a-vTRAP-BO-PT1h-IP3",0.986370631603362,0.991790757163967,1,0.987907805096685,0.988174764646092,0.977882612712286
"CamK2a-iPKRTRAP-ASV-BO-IP1",0.982937910850358,0.979397420917464,0.987907805096685,1,0.994833547608899,0.981157582831836
"CamK2a-iPKRTRAP-ASV-BO-IP2",0.985030638215536,0.980783958542208,0.988174764646092,0.994833547608899,1,0.98169541983892
"CamK2a-iPKRTRAP-ASV-BO-IP3",0.972648820755892,0.973416690279572,0.977882612712286,0.981157582831836,0.98169541983892,1
