"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
132.818608214773,1.09138485853244,0.365466347107812,2.98628004238783,0.00282393908322604,0.0137847609663764,"0610009L18Rik"
1304.02038017182,0.891982747626791,0.245783319470215,3.62914273250706,0.000284363987672188,0.00217630197405366,"0610010K14Rik"
330.150925227004,-0.229383408827412,0.271826902993167,-0.84385837568542,0.398748550341155,0.566753938712501,"0610030E20Rik"
63.1257766475112,1.10039064174817,0.445596516529848,2.46947765731571,0.0135310468051179,0.0468342953335969,"0610040B10Rik"
95.9810570743803,-1.2692765950764,0.463902696848614,-2.73608367379378,0.00621752141995037,0.0257560509481185,"0610040J01Rik"
41.4015783128349,1.11510203564829,0.57496655578494,1.93942069226264,0.0524501329185773,0.132371199672036,"0610042G04Rik"
95.6092092572428,-0.647099990305993,0.397784252774654,-1.62676120482974,0.103787824092832,0.218930638233556,"1110002E22Rik"
1024.59731160023,0.803055440129057,0.276275654013619,2.90671808558806,0.00365242200985861,0.0169402272847343,"1110002L01Rik"
30.8226277833905,0.956895671789439,0.756619605848846,1.26469848837172,0.205979432053106,0.358769663014484,"1110002O04Rik"
7293.48562825467,0.535605166633707,0.230652272863339,2.3221326197425,0.020225795730716,0.0638841758047346,"1110004F10Rik"
251.230994664881,0.695119752419203,0.326352487534629,2.12996615307075,0.0331744078386324,0.093330667386019,"1110018N20Rik"
69.2591828958525,-0.436525593898368,0.407630501846348,-1.07088550027817,0.284220916258655,0.449289178692721,"1110019D14Rik"
23.1722718117294,0.618421861600631,0.64177900691724,0.963605625823125,0.335243685217103,0.50293267056253,"1110020A21Rik"
646.216135869002,0.395076161130627,0.247735640010245,1.59474898772857,0.110768378568708,0.229369222164797,"1110032F04Rik"
201.151873516386,1.12607739605627,0.368941080390066,3.05218761452563,0.00227180057825093,0.0116223384995197,"1110038B12Rik"
914.007044227858,0.660339530746312,0.227666870069382,2.90046386874415,0.00372610792623601,0.017200493385156,"1110038F14Rik"
193.926137595644,0.586781602651678,0.334818045671497,1.75253876019392,0.0796812110578376,0.181386449302152,"1110046J04Rik"
1489.90440825409,0.387743780888855,0.291061635169989,1.33217069526322,0.182804103827776,0.329157245125471,"1110059E24Rik"
701.035454204448,1.01218867965006,0.281614113451336,3.59423988821132,0.000325339983601064,0.00242725014657746,"1110059G10Rik"
1342.5975557043,0.882982640800227,0.236595547112094,3.73203406225515,0.000189939809655753,0.0015794774145158,"1110065P20Rik"
63.9597908271218,0.720289092126904,0.472065209421603,1.52582541087795,0.127053350501357,0.253482641448659,"1190005I06Rik"
374.995492656428,0.814741735203306,0.292215527824394,2.78815346080077,0.0053009426601864,0.0227676095161274,"1300002E11Rik"
49.4003797089738,-0.383145391077752,0.495159897760914,-0.773781141829769,0.439060226309881,0.604111062669758,"1500002C15Rik"
3403.92639320699,-0.725317633551014,0.303041677854599,-2.39345834766341,0.0166903762831447,0.0551109823887572,"1500004A13Rik"
970.603158275531,0.400109606110802,0.281360026157711,1.42205561882671,0.15501010532158,0.292248475688722,"1500009L16Rik"
9246.16530300926,0.568603986761881,0.266400943155927,2.1343917931592,0.0328107228218815,0.092568255855858,"1500011B03Rik"
22.1757582135485,0.529846398968418,0.694844937984092,0.762539050087386,0.445738345886178,0.610775282147702,"1500012K07Rik"
163.005688974232,0.642754452557348,0.348549998626929,1.84408106466619,0.06517132703217,0.156488483774473,"1500015A07Rik"
118.555437052027,1.2888456355896,0.56284803060963,2.2898643425893,0.0220291818384357,0.0681576152667504,"1500026H17Rik"
41.2103114527348,-0.289225960755412,0.666733655636543,-0.433795351877478,0.664437057242872,0.788792401454641,"1500035N22Rik"
234.601096425082,-0.422607086175991,0.343157483646567,-1.23152519270497,0.218126500275636,0.373457497214778,"1600012H06Rik"
1670.63479684702,-0.392763260502717,0.233902042492557,-1.6791784129684,0.0931172777809391,0.202495273397626,"1600014C10Rik"
176.761718810024,1.00065560508953,0.300336198453064,3.33178488055582,0.00086290930454236,0.00531424271370678,"1600020E01Rik"
26.5925163531776,0.36526383019224,0.680050764089288,0.537112594353739,0.59118984174147,0.735049798251221,"1600023N17Rik"
45.6732003209971,0.14062202509454,0.554778218887556,0.2534743079433,0.799901712328825,0.879510279075092,"1600029O15Rik"
72.8827166252651,-0.883846322184425,0.597190597176103,-1.48000709717101,0.138871352650269,0.270150854960873,"1700001L05Rik"
102.640386342264,-0.00782484886745901,0.413196606467428,-0.0189373502709922,0.984891083669733,0.991683093610581,"1700001O22Rik"
1150.91773088157,-0.277430754479255,0.250980922417994,-1.10538582696421,0.268992442415336,0.432611463212469,"1700003E16Rik"
217.188644939738,-0.10582508296223,0.342787475365795,-0.308719222746696,0.757535120000829,0.852703706719695,"1700003M07Rik"
51.6775682845219,-0.231744745457752,0.467853655975101,-0.495335972046107,0.620362982820374,0.758217396134802,"1700008J07Rik"
39.1283116576517,1.20440785764469,0.531747500499816,2.26499956560699,0.0235127061725543,0.0717693258294693,"1700008O03Rik"
26.7642935597269,0.122907569104816,0.621353525107437,0.197806183015642,0.843196708412066,0.907063320332812,"1700010I14Rik"
40.7378519755857,0.86409369324652,0.555013150460058,1.55688868368301,0.119496916652532,0.24217847786412,"1700012D01Rik"
434.604494871444,0.100963959449923,0.419128719460716,0.240890100730466,0.809640294729885,0.885785961854418,"1700017B05Rik"
36.6157138135359,0.315402055977315,0.668268129743175,0.471969321802805,0.636948686168757,0.769154301748681,"1700018L02Rik"
1276.29753950017,0.369991286259349,0.234954727508287,1.57473437620573,0.115317769474543,0.23594311724913,"1700019D03Rik"
